policy,noise_pct,congestion,capacity,n,carbon_mean,carbon_std,avg_jct_mean,avg_jct_std,tail_jct_mean,tail_jct_std,preemptions_mean,preemptions_std,jobs_completed_mean,jobs_completed_std,carbon_ci95,avg_jct_ci95,tail_jct_ci95,preemptions_ci95,jobs_completed_ci95,carbon_per_completed_job_mean,tradeoff_score
q_drl,20.0,moderate,6,30,48.62801305170895,5.669491456089318,1.23377782477253,0.2508697507437886,5.721666666666662,1.762639223054829,100.06666666666666,46.01269190225621,128.76666666666668,3.9364199850689934,2.0288014619208474,0.08977258736567333,0.6307523452975331,16.465430333781995,1.408629800802472,0.3776444192470278,0.7200977814572287
q_drl,20.0,moderate,8,30,55.843002117588725,8.031985646578423,1.292760551507661,0.26902025124290346,5.869305555555553,1.5346370033204622,106.33333333333333,48.048347298954205,132.33333333333334,5.628335537220591,2.874209150523297,0.09626766055387767,0.5491627988098218,17.193880262100027,2.0140740054965347,0.4219874215434916,0.7702966735291593
q_drl_guarded,15.0,high,6,30,55.96318857352622,2.5112838100553643,1.416685389201058,0.3010326232138137,6.356111111111109,1.6849868590579449,189.03333333333333,60.92476045731825,196.33333333333334,5.9383809086393216,0.8986513701623634,0.10772314074238391,0.6029648037131321,21.801645533873685,2.1250223167635904,0.2850417075052269,0.7376991801835594
q_drl_guarded,15.0,high,8,30,69.41818525022761,4.821047152995002,1.326913181459465,0.2559740623173595,6.0383333333333296,1.344599225994148,224.03333333333333,85.42045435952976,201.7,4.153519488088511,1.725189567307729,0.09159914180406792,0.4811586535622413,30.567317020369234,1.48631786022008,0.34416551933677547,0.7372645841858513
q_drl_guarded,15.0,moderate,6,30,48.100551056392966,5.335724164795771,1.334070325442738,0.318526029648797,6.029166666666663,1.6985026930998466,140.9,68.40364479097335,128.8,4.01205081275623,1.9093643706469166,0.11398307583958756,0.6078013828094527,24.47792992149008,1.435693944908968,0.3734514833570882,0.7576990201913482
q_drl_guarded,15.0,moderate,8,30,55.56601555676246,7.850772115092812,1.322522883845658,0.28577509061351203,5.8794444444444425,1.5365895481018617,118.13333333333334,57.7310848756503,132.3,5.452933408599509,2.8093627210956664,0.10226330282137422,0.549861507986412,20.658803404350813,1.951307159876144,0.4200001175870178,0.7810092240904738
q_drl_guarded,20.0,high,6,30,55.791756899193985,2.4637050889635215,1.4243947683052132,0.29229124805424966,6.3316666666666634,1.6275718669208845,200.83333333333334,62.56311755468168,196.3,6.029525057066526,0.8816255434801873,0.104595079814825,0.5824191126425983,22.38792409166378,2.1576378314013342,0.28421679520730503,0.7402879844464683
q_drl_guarded,20.0,high,8,30,69.27265395524594,4.749140258443096,1.3188097516521007,0.24796406021167053,5.964027777777774,1.3498059688030521,231.8,89.71618083405176,201.6,4.182063506501761,1.699458015559396,0.08873279936262077,0.48302186254745016,32.104522997134886,1.4965322060277093,0.3436143549367358,0.7336925136228818
q_drl_guarded,20.0,moderate,6,30,47.97579751036262,5.304531754747386,1.3155194680238724,0.30606912305173084,6.011249999999998,1.781260259095279,141.2,65.59352365003413,129.06666666666666,3.885723944738308,1.8982023100640353,0.1095254290628215,0.6374157974667344,23.472340985856565,1.3904884557571375,0.3717133071567352,0.7492357715035901
q_drl_guarded,20.0,moderate,8,30,55.39185123126263,7.791461378018753,1.319503627047958,0.2811799506959869,5.8969444444444425,1.5375165222507758,122.33333333333333,55.63200104463154,132.26666666666668,5.570447473719797,2.7881386464118227,0.10061895312006319,0.5501932214254471,19.907655902313163,1.9933590280126128,0.4187891978170057,0.7790749695093867
srtf,15.0,high,6,30,58.23651250222536,3.531099256633336,1.0523580957382601,0.15197254572532895,4.987916666666663,1.027343684215795,58.46666666666667,11.500324832993535,198.2,5.254882786841995,1.2635876408898972,0.05438267705796201,0.3676302159682306,4.115338388716029,1.8804356550739953,0.2938270055611774,0.5972394416320105
srtf,15.0,high,8,30,71.31484065673327,5.537880962570732,1.0245096430407568,0.14249988911960848,5.125138888888885,1.1621698452471492,56.0,12.122933524579736,204.1,4.7368693284154215,1.981705251665896,0.05099293042569244,0.4158771380641791,4.338136047637981,1.6950669196432824,0.3494112722034947,0.6194506205383996
srtf,15.0,moderate,6,30,48.92953439188783,5.737716220623723,1.0365244714175441,0.16138556042642904,5.167638888888886,1.3154688113544273,36.9,10.158570358280633,131.53333333333333,3.7391990045198633,2.053215380364615,0.057751081108763244,0.47073446855990747,3.6351977163259783,1.3380551792939086,0.37199341909696776,0.6378058400251984
srtf,15.0,moderate,8,30,56.07904931978817,8.175037021327713,1.0170800428629092,0.17181143620299885,5.091249999999998,1.344621019938531,28.2,9.668291579641439,134.03333333333333,3.0680032069997827,2.925399427547073,0.061481932840551576,0.4811664524250789,3.4597537085951555,1.0978708478083554,0.4183962893791706,0.657869790772666
srtf,20.0,high,6,30,58.24931666939169,3.492982464192273,1.0523580957382601,0.15197254572532895,4.987916666666663,1.027343684215795,58.46666666666667,11.500324832993535,198.2,5.254882786841995,1.249947721890618,0.05438267705796201,0.3676302159682306,4.115338388716029,1.8804356550739953,0.29389160781731427,0.5972782029856927
srtf,20.0,high,8,30,71.34327298575481,5.4853229570221815,1.0245096430407568,0.14249988911960848,5.125138888888885,1.1621698452471492,56.0,12.122933524579736,204.1,4.7368693284154215,1.9628976109244995,0.05099293042569244,0.4158771380641791,4.338136047637981,1.6950669196432824,0.3495505780781715,0.6195342040632057
srtf,20.0,moderate,6,30,48.872907989129025,5.731067980501282,1.0365244714175441,0.16138556042642904,5.167638888888886,1.3154688113544273,36.9,10.158570358280633,131.53333333333333,3.7391990045198633,2.050836338190538,0.057751081108763244,0.47073446855990747,3.6351977163259783,1.3380551792939086,0.37156290919256735,0.637547534082558
srtf,20.0,moderate,8,30,56.013190815653395,8.15468319338065,1.0170800428629092,0.17181143620299885,5.091249999999998,1.344621019938531,28.2,9.668291579641439,134.03333333333333,3.0680032069997827,2.918115903757592,0.061481932840551576,0.4811664524250789,3.4597537085951555,1.0978708478083554,0.4179049302336737,0.6575749752853679
